entity,soc
src/common/components/FuelSurcharge.vue,786
src/modules/filters/components/common/index.ts,785
src/modules/tender/types/interfaces.ts,779
src/modules/orders/components/order-details/order-content/order-mobile/__tests__/OrderBidDialog.spec.ts,778
src/modules/bids/events/BidEventConsumer.spec.ts,776
src/modules/assignments/mocks/AssignmentService.mock.ts,776
src/common/types/userPermissions.ts,776
src/assets/weight-hanging-solid.svg,776
src/assets/roundtrip.svg,776
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderBidChange.vue,774
src/modules/filters/components/common/AddressTypeAhead.spec.ts,773
src/__tests__/example.spec.ts,772
src/modules/filters/components/filter-add/__tests__/SavedLaneConfirmDialog.spec.ts,767
src/modules/assignments/http/mocks/ServiceHelpers.ts,767
src/modules/assignments/http/interfaces/IRestService.ts,767
src/modules/assignments/http/interfaces/IRestHeader.ts,767
src/modules/assignments/http/interfaces/IGetService.ts,767
src/modules/assignments/http/interfaces/IGenericService.ts,767
src/modules/assignments/http/helpers.ts,767
src/modules/assignments/http/errors/ErrorService.ts,767
src/modules/assignments/http/enums/apiErrors.ts,767
src/modules/assignments/http/custom-errors.ts,767
src/modules/assignments/http/__tests__/helpers.spec.ts,767
src/modules/assignments/http/__tests__/GenericService.spec.ts,767
src/modules/assignments/http/RestService.ts,767
src/modules/assignments/http/GenericService.ts,767
src/modules/assignments/base/casing.ts,767
.env.e2e,764
src/modules/bids/app/bidding-block/bidding-statuses/useBiddingStatus.ts,763
src/modules/marketplace/components/__tests__/MarketplaceTabs.spec.ts,761
src/modules/filters/models/constants.ts,761
src/modules/filters/components/filter-edit/__tests__/SavedLaneEditDialog.spec.ts,761
src/modules/filters/components/filter-bar/__tests__/MarketplaceListStatusBar.spec.ts,761
src/modules/filters/components/filter-bar/MarketplaceListStatusBar.spec.ts,761
src/modules/filters/components/filter-add/SavedLaneConfirmDialog.spec.ts,761
src/modules/filters/components/common/DropdownFilter.spec.ts,761
.env.uat,759
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderPlaceBid.vue,757
src/orchestrated/languages.ts,756
src/modules/orders/models/mocks/Filter.ts,756
src/modules/marketplace/helpers.ts,756
src/modules/assignments/base/mixins/autoReload.ts,756
src/modules/assignments/mocks/sennderContact.mock.ts,755
src/modules/assignments/components/orders/LoadWeightSpecification.vue,755
src/modules/assignments/components/assignmentDetailsDialog/OrderDetailsDialogHeadline.vue,755
src/modules/assignments/common/TableTitlesWrapper.vue,755
src/modules/assignments/common/Table.vue,755
src/modules/assignments/base/segmentEvents.ts,755
src/common/config/tenants.ts,755
src/modules/orders/store/getters.ts,752
src/modules/assignments/segmentEvents.ts,752
src/modules/filters/types/interface.ts,750
src/modules/bids/services/BiddingRegularOrderService.spec.ts,750
src/modules/bids/app/bid-table-cell/OrderListBid.vue,750
src/modules/bids/events/BidEventConsumer.ts,749
src/App.spec.ts,748
src/modules/assignments/mocks/multiStop.ts,746
src/modules/assignments/components/orders/__tests__/OrderSpecificationsTableCell.spec.ts,746
src/modules/filters/components/filter-add/DsfDateRangePicker.vue,742
src/modules/filters/components/filter-add/DsfDateRangePicker.spec.ts,742
src/modules/filters/components/common/RadiusAddressWrapper.spec.ts,742
src/modules/filters/components/filter-bar/__tests__/useSorting.spec.ts,741
src/orchestrated/notifications.ts,740
src/modules/orders/models/mocks/index.ts,740
src/modules/marketplace/components/MarketplaceSavedLanes.vue,739
src/common/filter/__tests__/DsfDateRangePicker.spec.ts,736
src/common/filter/DsfDateRangePicker.vue,736
src/modules/accept-now/services/AcceptNowService.ts,733
src/modules/orders/classes/OrderDetailsView.ts,729
src/modules/assignments/components/ValidityCounter.spec.ts,729
src/modules/assignments/components/AssignmentsFilters.spec.ts,729
src/modules/marketplace/models/TransportOffers.ts,728
src/common/components/TransportRequestStatusTableCell.vue,727
src/modules/assignments/components/Status.vue,724
src/modules/marketplace/components/orders/MarketplaceOrderList.spec.ts,721
src/common/filter/__tests__/DateRangePicker.spec.ts,721
src/modules/bids/services/BiddingClient.spec.ts,717
src/modules/bids/services/IBiddingService.ts,716
src/modules/bids/app/bidding-block/useCancelBidDialog.ts,712
src/modules/bids/app/bidding-block/useCancelBidDialog.spec.ts,712
src/modules/tender/components/tender-details/tender-content/__tests__/TenderRoute.spec.ts,710
tsconfig.json,709
src/modules/bids/app/bidding-block/BiddingBlock.spec.ts,708
src/common/classes/MarketplaceTab.ts,705
src/modules/orders/components/order-details/order-content/order-load-details/order-route-details/__tests__/OrderDetailsStops.spec.ts,704
src/local-setup.ts,704
src/modules/bids/store/actions.ts,702
src/modules/bids/events/BidEvents.ts,701
src/modules/bids/services/BiddingOrderService.ts,699
src/modules/bids/models/index.ts,691
src/modules/accept-now/services/AcceptNowService.spec.ts,688
webpack/webpack.prod.js,685
src/modules/tender/components/tender-list/__tests__/TendersNoResults.spec.ts,684
src/modules/orders/components/order-details/order-content/order-load-details/order-route-details/__tests__/verticalStepper.spec.ts,684
src/modules/tender/services/TenderService.ts,681
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderPriceBidInput.spec.ts,679
src/modules/tender/components/tender-details/tender-content/__tests__/TenderContent.spec.ts,679
src/modules/bids/services/BiddingOrderService.spec.ts,676
src/modules/orders/components/order-details/order-next-suggestions/NextLoadSuggestions.vue,674
src/modules/orders/components/order-details/order-content/order-load-details/__tests__/OrderDetailsSectionHeadline.spec.ts,674
src/modules/bids/composition/useAvailableBidActions.spec.ts,670
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderContractInfo.spec.ts,669
src/modules/orders/components/common/__tests__/OrderRouteStop.spec.ts,667
src/common/components/OrderDistance.vue,661
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderRequirements.spec.ts,659
src/modules/orders/components/order-details/order-content/order-load-details/order-description/__tests__/OrderDetailsDescription.spec.ts,659
src/modules/bids/app/bid-table-cell/OrderListBid.spec.ts,659
src/modules/orders/store/__tests__/actions.spec.ts,657
src/modules/bids/app/bidding-block/bid-form/BidForm.spec.ts,656
src/modules/bids/services/mocks/index.ts,655
src/modules/bids/store/actions.spec.ts,654
src/common/components/VehicleTypes.vue,652
src/modules/bids-deprecated/services/BiddingClient.ts,651
src/modules/tender/components/tender-details/tender-content/__tests__/TenderMap.spec.ts,650
src/modules/tender/components/tender-details/tender-content/__tests__/TenderBid.spec.ts,647
src/modules/bids/app/bidding-block/useBidInAcceptedState.spec.ts,647
src/modules/marketplace/types/serviceTypes.ts,645
src/modules/orders/components/order-details/order-content/__tests__/OrderDetailsContent.spec.ts,643
src/modules/tender/components/tender-details/tender-content/TenderContent.vue,642
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderVehicles.spec.ts,641
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderSpecifications.spec.ts,641
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderLoadDetails.spec.ts,641
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderWeekLoadChooser.spec.ts,641
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderBidChangeDialog.spec.ts,641
src/modules/tender/components/tender-details/__tests__/TenderError.spec.ts,641
src/modules/orders/components/common/OrderRoute.vue,641
src/common/components/__tests__/MapPlaceholder.spec.ts,641
src/modules/tender/components/tender-details/tender-content/tender-load-details/TenderContractInfo.vue,639
src/modules/bids/events/BidEventKeys.ts,639
src/modules/bids/store/index.ts,638
src/modules/orders/services/__tests__/MarketplaceOrderService.spec.ts,635
src/modules/bids/services/errors/BiddingServiceErrors.spec.ts,635
src/modules/orders/types/enums.ts,634
src/modules/bids-deprecated/app/bid-table-cell/actions/OrderListBidActions.vue,633
