entity,added,deleted,commits
src/modules/bids-deprecated/app/bidding-block/bidding-statuses/useBiddingStatus.spec.ts,268,8,3
src/common/services/RestService.ts,267,253,25
src/modules/bids/services/errors/BiddingServiceErrors.ts,266,460,14
src/orchestrated/shared-data.ts,266,105,10
src/modules/tender/components/tender-details/__tests__/TenderDetails.spec.ts,266,99,12
src/modules/bids-deprecated/models/BidCondition.ts,266,0,2
src/common/services/GenericService.ts,266,254,20
src/modules/orders/components/order-details/order-footer/__tests__/OrderDetailsFloatingBlock.spec.ts,265,252,4
src/modules/tender/components/tender-list/__tests__/TenderTableRow.spec.ts,264,264,6
src/modules/filters/mocks/savedLanes.mock.ts,262,364,8
src/modules/orders/components/order-details/order-footer/OrderDetailsFloatingBlock.vue,261,266,7
src/modules/transport-offers/services/CarrierLoadService.spec.ts,261,70,5
src/orchestrator-setup.ts,257,133,11
src/modules/filters/components/filter-add/FilterActions.spec.ts,257,6,4
src/modules/bids/app/bidding-block/last-bid/LastBid.vue,254,254,8
src/modules/bids-deprecated/models/BidCondition.spec.ts,254,0,2
src/modules/bids-deprecated/base/helpers.ts,254,0,2
src/modules/orders/components/order-details/order-content/order-load-details/order-route-details/VerticalStepper.vue,253,99,10
src/modules/bids-deprecated/services/BiddingClient.ts,251,70,15
src/modules/orders/components/order-details/order-content/order-bids/BidInputWithCondition.vue,249,247,5
src/modules/accept-now-deprecated/app/AcceptNowContent.spec.ts,249,18,6
src/modules/orders/components/common/__tests__/OrderRouteStop.spec.ts,247,121,8
src/modules/assignments/components/AssignmentsFilters.vue,246,688,8
src/modules/bids/app/bidding-block/useBiddingBlock.ts,245,383,23
src/orchestrated/sharedData.ts,244,339,16
src/common/components/RouteBackToButton.spec.ts,244,5,3
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderPlaceBid.spec.ts,243,139,11
src/modules/bids/app/bid-details/CancelBid.spec.ts,240,240,6
src/modules/tender/components/tender-list/TenderTableRow.spec.ts,239,9,6
src/modules/tender/tender.mocks.ts,237,40,15
src/setup-jest.ts,237,187,44
src/modules/bids/app/floating-block/OrderDetailsFloatingBlock.spec.ts,237,237,4
