entity,fractal-value,total-revs
src/common/components/__tests__/FuelSurcharge.spec.ts,0.72,10
src/modules/bids/app/bid-table-cell/actions/OrderListBidActions.spec.ts,0.72,9
src/modules/marketplace/components/orders/__tests__/MarketplaceOrderList.spec.ts,0.72,9
src/modules/assignments/services/MothershipAssignmentService.ts,0.72,9
src/common/components/BackButton.vue,0.72,8
src/modules/accept-now/app/accept-now-action/AcceptNowAction.vue,0.72,8
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderContractInfo.spec.ts,0.72,8
src/modules/bids/services/mocks/BiddingClient-mock.ts,0.72,6
src/modules/assignments/components/ValidityCounter.vue,0.72,6
src/modules/accept-now/featureFlags.ts,0.72,6
src/modules/assignments/components/orders/OrderId.vue,0.72,6
src/common/services/__tests__/GenericService.spec.ts,0.72,6
src/modules/bids/app/bid-details/ChangeBid.spec.ts,0.72,6
src/modules/tender/components/tender-list/__tests__/TendersNoResults.spec.ts,0.72,6
src/modules/bids/app/bid-details/CancelBid.spec.ts,0.72,6
src/modules/accept-now-deprecated/app/AcceptNowContent.spec.ts,0.72,6
src/modules/bids/composition/useBidActions.ts,0.72,6
src/modules/bids-deprecated/app/bidding-block/BiddingBlock.spec.ts,0.72,5
src/modules/bids/widgets/AcceptNowConfirmDialog.spec.ts,0.72,5
src/modules/bids-deprecated/services/BiddingOrderService.spec.ts,0.72,5
src/modules/bids/services/mocks/index.ts,0.72,5
src/modules/bids/app/bidding-block/bidding-statuses/BiddingStatuses.spec.ts,0.72,5
src/modules/accept-now/app/accept-now-block/useAcceptNowBlock.ts,0.72,5
src/modules/tender/components/tender-details/tender-content/__tests__/TenderBid.spec.ts,0.72,5
src/common/services/RestService.ts,0.71,25
src/modules/accept-now/app/AcceptNowConfirmDialog.spec.ts,0.71,22
src/common/base/orcas.ts,0.71,19
src/modules/orders/models/mocks/Order.ts,0.71,19
src/modules/assignments/components/AssignmentRow.vue,0.71,14
src/modules/marketplace/components/orders/MarketplaceZeroResultsRecommendations.spec.ts,0.71,13
src/modules/tender/components/tender-list/TendersTable.vue,0.71,12
src/modules/marketplace/types/interfaces.ts,0.7,40
src/modules/filters/store/actions.ts,0.7,27
src/local-setup.ts,0.7,25
src/modules/assignments/base/dependencies.ts,0.7,25
src/modules/bids/app/bidding-block/useBiddingBlock.ts,0.7,23
src/modules/marketplace/components/orders/MarketplaceZeroResultsRecommendations.vue,0.7,13
src/orchestrated/shared-data.ts,0.7,10
src/modules/bids/app/bid-details/cancel-bid-dialog/CancelBidDialog.vue,0.7,10
src/modules/marketplace/components/orders/MarketplaceOrderList.vue,0.69,48
src/modules/marketplace/components/MarketplaceAllLanes.vue,0.69,16
src/modules/bids/app/bidding-block/bid-form/BidForm.spec.ts,0.69,14
src/modules/marketplace/types/enums.ts,0.69,13
src/modules/tender/components/tender-details/__tests__/TenderDetails.spec.ts,0.69,12
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderPlaceBid.spec.ts,0.69,11
src/modules/bids-deprecated/services/BiddingOrderService.ts,0.69,9
src/modules/bids/app/bidding-block/useBidInAcceptedState.spec.ts,0.69,9
src/modules/bids/app/bidding-block/last-bid/LastBid.vue,0.69,8
src/common/config/tenants.ts,0.69,8
